,0
uid,2020-01-12 16:13:57.107154
Participant,12
1. What is your age?,32
2. What is your gender?,Male
3. Do you have musical training (two or more years of lessons/school)?,Yes
1. Is talkative,4
2. Tends to find fault with others,3
3. Does a thorough job,2
"4. Is depressed, blue",3
"5. Is original, comes up with new ideas",4
6. Is reserved,5
7. Is helpful and unselfish with others,4
8. Can be somewhat careless,3
"9. Is relaxed, handles stress well.  ",2
10. Is curious about many different things,1
11. Is full of energy,2
12. Starts quarrels with others,3
13. Is a reliable worker,4
14. Can be tense,5
"15. Is ingenious, a deep thinker",4
16. Generates a lot of enthusiasm,3
17. Has a forgiving nature,2
18. Tends to be disorganized,1
19. Worries a lot,2
20. Has an active imagination,3
21. Tends to be quiet,4
22. Is generally trusting,5
23. Tends to be lazy,4
"24. Is emotionally stable, not easily upset",3
25. Is inventive,2
26. Has an assertive personality,1
27. Can be cold and aloof,2
29. Can be moody,3
"30. Values artistic, aesthetic experiences",4
"31. Is sometimes shy, inhibited",5
32. Is considerate and kind to almost everyone,4
33. Does things efficiently,3
34. Remains calm in tense situations,2
"36. Is outgoing, sociable",1
38. Makes plans and follows through with them,2
39. Gets nervous easily,4
"40. Likes to reflect, play with ideas",5
42. Likes to cooperate with others,4
43. Is easily distracted,3
"44. Is sophisticated in art, music, or literature",2
