Id,Question,Type,Op1,Op2,Op3,Op4,Op5
1,Is talkative,int,"1
Disagree
Strongly","2
Disagree
a little","3
Neither agree
nor disagree","4
Agree
a little","5
Agree
Strongly"
2,Tends to find fault with others,int,"1
Disagree
Strongly","2
Disagree
a little","3
Neither agree
nor disagree","4
Agree
a little","5
Agree
Strongly"
3,Does a thorough job,int,"1
Disagree
Strongly","2
Disagree
a little","3
Neither agree
nor disagree","4
Agree
a little","5
Agree
Strongly"
4,"Is depressed, blue",int,"1
Disagree
Strongly","2
Disagree
a little","3
Neither agree
nor disagree","4
Agree
a little","5
Agree
Strongly"
5,"Is original, comes up with new ideas",int,"1
Disagree
Strongly","2
Disagree
a little","3
Neither agree
nor disagree","4
Agree
a little","5
Agree
Strongly"
6,Is reserved,int,"1
Disagree
Strongly","2
Disagree
a little","3
Neither agree
nor disagree","4
Agree
a little","5
Agree
Strongly"
7,Is helpful and unselfish with others,int,"1
Disagree
Strongly","2
Disagree
a little","3
Neither agree
nor disagree","4
Agree
a little","5
Agree
Strongly"
8,Can be somewhat careless,int,"1
Disagree
Strongly","2
Disagree
a little","3
Neither agree
nor disagree","4
Agree
a little","5
Agree
Strongly"
9,"Is relaxed, handles stress well.  ",int,"1
Disagree
Strongly","2
Disagree
a little","3
Neither agree
nor disagree","4
Agree
a little","5
Agree
Strongly"
10,Is curious about many different things,int,"1
Disagree
Strongly","2
Disagree
a little","3
Neither agree
nor disagree","4
Agree
a little","5
Agree
Strongly"
11,Is full of energy,int,"1
Disagree
Strongly","2
Disagree
a little","3
Neither agree
nor disagree","4
Agree
a little","5
Agree
Strongly"
12,Starts quarrels with others,int,"1
Disagree
Strongly","2
Disagree
a little","3
Neither agree
nor disagree","4
Agree
a little","5
Agree
Strongly"
13,Is a reliable worker,int,"1
Disagree
Strongly","2
Disagree
a little","3
Neither agree
nor disagree","4
Agree
a little","5
Agree
Strongly"
14,Can be tense,int,"1
Disagree
Strongly","2
Disagree
a little","3
Neither agree
nor disagree","4
Agree
a little","5
Agree
Strongly"
15,"Is ingenious, a deep thinker",int,"1
Disagree
Strongly","2
Disagree
a little","3
Neither agree
nor disagree","4
Agree
a little","5
Agree
Strongly"
16,Generates a lot of enthusiasm,int,"1
Disagree
Strongly","2
Disagree
a little","3
Neither agree
nor disagree","4
Agree
a little","5
Agree
Strongly"
17,Has a forgiving nature,int,"1
Disagree
Strongly","2
Disagree
a little","3
Neither agree
nor disagree","4
Agree
a little","5
Agree
Strongly"
